EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,SalaryBand,TotalWorkingYears,YearsAtCompany,YearsInRole,NumCompaniesWorked,TrainingTimesLastYear,PromotionsLast5Years,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,OverTime,MaritalStatus,DistanceFromHome,Education,StockOptionLevel,Attrition
E200019,57,Male,R&D,Team Lead,141079,Medium,11,13,10,4,9,1,1,4,3,1,No,Single,22,College,0,Yes
E200020,21,Male,Marketing,Finance Analyst,98948,Medium,18,8,8,6,1,0,4,2,3,1,Yes,Divorced,48,Master,0,No
E200021,40,Female,Marketing,Human Resources,133341,Low,25,4,8,0,6,0,3,1,1,3,No,Divorced,33,College,1,Yes
E200022,52,Female,Finance,Human Resources,77439,Medium,27,3,2,2,7,1,3,3,1,1,Yes,Single,24,Master,1,No
E200023,31,Female,Marketing,Developer,64415,Low,14,11,12,1,3,0,1,4,4,1,No,Single,57,Master,0,Yes
E200024,41,Female,Sales,Human Resources,32569,Medium,13,0,8,9,8,0,2,3,3,4,No,Married,55,Doctor,1,Yes
E200025,44,Female,HR,Team Lead,22369,Low,13,12,12,5,2,1,1,1,3,2,No,Divorced,29,Bachelor,1,No
E200026,46,Male,Finance,Research Scientist,129963,High,2,0,11,5,5,0,3,2,1,3,Yes,Divorced,13,Master,1,Yes
E200027,47,Male,Sales,Research Scientist,117557,High,28,2,2,9,6,1,3,4,3,1,No,Single,57,Below College,1,No
E200028,35,Male,R&D,Finance Analyst,20528,Medium,5,7,3,0,6,1,3,2,2,4,No,Single,50,Doctor,1,Yes
E200029,34,Female,R&D,Finance Analyst,128806,High,22,17,0,5,5,1,2,2,1,3,Yes,Married,27,Master,0,No
E200030,22,Male,Finance,Developer,50314,Low,27,15,4,9,8,0,3,1,2,3,No,Single,1,Doctor,2,No
E200031,56,Male,Marketing,Research Scientist,122979,Medium,13,19,11,1,0,0,3,2,1,4,Yes,Single,7,Below College,0,Yes
E200032,26,Male,R&D,Finance Analyst,38047,High,13,19,8,3,8,1,1,1,1,1,No,Single,4,Doctor,0,Yes
E200033,40,Male,IT,Human Resources,39748,High,19,15,14,5,8,1,3,2,1,1,No,Single,10,Doctor,0,Yes
E200034,28,Male,Finance,Finance Analyst,55109,Medium,12,1,1,2,3,1,4,2,4,1,No,Married,40,Master,0,No
E200035,58,Female,Sales,Sales Executive,33919,High,26,16,3,2,4,0,1,4,4,1,No,Divorced,35,College,0,No
E200036,37,Male,Finance,Developer,67498,High,34,9,9,2,2,0,3,1,1,3,No,Divorced,55,Doctor,1,Yes
E200037,23,Female,HR,Data Analyst,75808,Medium,1,6,1,3,6,1,1,3,1,2,No,Divorced,39,Master,2,No
E200038,44,Female,Marketing,Manager,100792,High,39,9,13,8,1,0,1,3,1,3,Yes,Divorced,59,Below College,1,No
E200039,33,Female,Marketing,Laboratory Technician,90441,High,23,18,7,3,7,0,4,3,1,3,No,Divorced,58,Below College,2,No
E200040,28,Female,Finance,Manager,133843,High,28,19,8,3,8,1,1,4,3,4,Yes,Single,57,College,0,No
E200041,45,Female,R&D,Manager,133559,High,2,8,2,3,5,0,1,4,3,3,No,Divorced,16,Below College,0,No
E200042,21,Male,R&D,Data Analyst,94420,Medium,3,16,12,6,8,0,2,2,3,1,Yes,Single,27,Master,0,Yes
E200043,39,Male,IT,Finance Analyst,48906,Low,1,8,14,4,5,1,3,2,4,4,Yes,Divorced,20,College,0,Yes
E200044,47,Female,IT,Manager,127447,Low,19,8,8,1,2,0,2,3,2,4,Yes,Divorced,10,Master,0,No
E200045,26,Female,Marketing,Sales Executive,91486,High,14,4,5,6,9,0,3,2,1,4,No,Single,45,College,0,Yes
E200046,27,Female,IT,Laboratory Technician,86896,High,31,6,5,2,2,0,1,2,3,4,No,Divorced,33,College,0,No
E200047,54,Male,Sales,Manager,123431,Low,0,10,6,0,1,1,3,4,3,4,Yes,Single,7,Master,2,No
E200048,33,Female,IT,Research Scientist,41946,High,37,7,11,8,4,0,1,3,3,1,Yes,Married,42,College,0,Yes
E200049,36,Male,Sales,Data Analyst,67020,Low,34,13,4,4,3,0,3,1,1,2,Yes,Married,44,Master,0,No
E200050,55,Female,IT,Data Analyst,94266,Medium,6,1,5,9,5,0,1,3,1,2,Yes,Married,46,Below College,0,Yes
E200051,59,Male,Marketing,Data Analyst,143699,Medium,12,9,10,0,4,0,3,4,2,4,Yes,Divorced,22,Below College,2,Yes
E200052,23,Female,Marketing,Developer,42161,Medium,0,15,0,0,5,0,3,3,4,2,Yes,Divorced,43,Doctor,2,Yes
E200053,21,Male,Sales,Developer,47738,Medium,13,15,2,0,3,1,3,1,2,3,No,Divorced,17,Bachelor,0,Yes
E200054,25,Female,Finance,Human Resources,23925,Medium,28,18,11,8,2,0,1,2,1,2,No,Divorced,9,Bachelor,1,No
E200055,23,Male,Marketing,Team Lead,28463,Medium,2,10,8,7,0,1,3,3,2,3,Yes,Single,58,Below College,2,No
E200056,48,Male,Finance,Laboratory Technician,77153,Low,23,5,11,5,4,0,1,4,3,1,No,Married,40,Doctor,0,No
E200057,37,Male,R&D,Finance Analyst,102948,High,0,5,4,9,5,1,2,4,2,4,Yes,Single,10,Bachelor,2,No
E200058,45,Male,Sales,Manager,81009,Low,9,6,4,5,4,1,3,3,3,3,Yes,Married,36,Master,1,No
E200059,53,Male,Marketing,Team Lead,107938,Medium,12,15,7,5,4,0,4,2,2,1,No,Married,31,Master,0,Yes
E200060,29,Male,HR,Finance Analyst,119546,High,35,12,10,3,5,1,4,2,3,1,Yes,Single,31,College,2,No
E200061,55,Male,R&D,Team Lead,111253,High,8,2,10,4,3,0,1,4,2,4,No,Single,5,Bachelor,1,Yes
E200062,33,Female,Finance,Finance Analyst,61552,Medium,13,8,12,9,3,1,4,4,4,2,Yes,Single,56,Master,2,No
E200063,50,Female,Marketing,Sales Executive,76271,Medium,35,2,1,2,7,0,1,1,2,1,Yes,Married,18,Bachelor,2,No
E200064,34,Female,Sales,Developer,29797,Medium,9,5,12,2,7,0,1,2,1,2,No,Single,6,College,0,Yes
E200065,27,Female,IT,Laboratory Technician,106130,Medium,39,16,6,9,2,0,4,3,1,2,No,Divorced,42,Below College,0,No
E200066,33,Female,HR,Research Scientist,91942,Medium,22,2,8,6,6,0,4,4,3,2,No,Single,50,Doctor,2,No
E200067,42,Male,Finance,Sales Executive,138065,Medium,34,1,6,4,4,1,2,4,1,3,Yes,Married,28,College,1,Yes
E200068,59,Male,R&D,Developer,33965,High,6,11,11,7,4,0,1,4,3,2,No,Married,43,College,0,Yes
E200069,40,Male,Sales,Data Analyst,33733,Medium,34,5,4,4,2,0,4,4,4,2,Yes,Single,24,College,2,No
E200070,35,Male,HR,Developer,73223,Medium,1,9,12,3,1,0,2,2,1,1,Yes,Single,5,Doctor,2,No
E200071,37,Male,Sales,Team Lead,147182,High,14,10,5,2,2,1,2,4,1,4,No,Married,28,Master,0,Yes
E200072,43,Female,Marketing,Human Resources,146574,Low,8,15,3,1,6,0,1,2,3,3,Yes,Married,58,Bachelor,0,No
E200073,45,Female,IT,Sales Executive,46926,Medium,16,15,13,2,2,1,3,1,4,2,No,Single,3,Below College,2,Yes
E200074,44,Female,R&D,Data Analyst,48783,High,38,17,11,6,1,1,4,1,4,4,No,Divorced,18,Below College,0,Yes
E200075,48,Female,Sales,Team Lead,103360,High,17,8,6,7,3,0,4,3,2,2,Yes,Divorced,4,Doctor,2,No
E200076,34,Male,Finance,Laboratory Technician,56394,Low,14,18,0,4,4,1,4,4,3,2,Yes,Divorced,40,Below College,1,Yes
E200077,20,Male,Marketing,Developer,128378,Medium,17,1,3,0,6,0,4,3,3,1,No,Married,49,Doctor,0,No
E200078,44,Male,Marketing,Data Analyst,84796,Medium,23,0,2,2,0,1,4,2,4,4,No,Divorced,42,Doctor,0,No
E200079,26,Female,R&D,Team Lead,48287,Medium,22,15,12,3,7,0,4,3,3,1,Yes,Divorced,32,Bachelor,2,Yes
E200080,28,Male,Marketing,Human Resources,102104,High,11,17,3,9,9,0,2,3,1,1,No,Single,32,Bachelor,0,No
E200081,43,Female,Finance,Developer,50436,Medium,22,2,0,3,2,0,1,4,1,2,Yes,Single,19,Doctor,1,No
E200082,20,Male,Sales,Laboratory Technician,106916,Medium,20,0,11,0,5,1,2,2,1,2,Yes,Divorced,29,Bachelor,2,No
E200083,27,Male,R&D,Human Resources,110332,Medium,25,5,12,9,3,1,4,2,3,2,No,Married,33,Master,1,Yes
E200084,43,Female,Marketing,Finance Analyst,93567,Medium,7,18,1,8,4,1,1,4,2,4,Yes,Divorced,2,College,1,Yes
E200085,30,Male,Marketing,Team Lead,107483,Low,29,18,11,9,9,1,4,2,2,4,No,Single,58,Below College,1,No
E200086,36,Male,Finance,Developer,23188,Low,33,10,10,3,5,0,1,1,4,4,No,Single,11,Below College,1,No
E200087,27,Female,IT,Developer,111205,Low,1,7,12,1,1,0,2,4,3,4,Yes,Single,47,Below College,2,Yes
E200088,54,Male,IT,Data Analyst,121249,Medium,4,4,8,8,2,1,1,4,4,2,Yes,Divorced,55,Below College,0,Yes
E200089,54,Female,Marketing,Laboratory Technician,117349,Medium,30,19,14,3,7,1,2,4,3,2,Yes,Married,33,Master,1,No
E200090,52,Male,Sales,Research Scientist,26765,High,32,8,6,3,7,1,4,1,2,1,No,Divorced,41,Master,1,No
E200091,24,Male,R&D,Finance Analyst,71626,High,3,14,12,5,0,1,1,2,1,2,No,Single,40,College,2,No
E200092,58,Male,Marketing,Human Resources,108707,High,5,13,5,7,9,0,3,1,3,4,No,Single,1,Doctor,1,Yes
E200093,47,Male,HR,Sales Executive,30807,Medium,22,3,1,4,7,0,3,1,2,3,No,Single,42,Bachelor,1,Yes
E200094,26,Male,R&D,Sales Executive,30204,Low,18,7,0,7,1,0,2,1,2,2,No,Single,17,College,1,Yes
E200095,28,Male,IT,Developer,112602,Low,7,19,1,0,9,1,2,3,2,4,No,Divorced,50,Below College,1,No
E200096,27,Male,Marketing,Data Analyst,77944,Low,38,16,6,3,9,1,2,2,1,1,Yes,Divorced,16,Bachelor,0,Yes
E200097,31,Male,Finance,Manager,62120,Medium,12,1,1,0,7,1,2,2,2,2,Yes,Married,2,College,1,No
E200098,53,Female,HR,Developer,122903,Low,0,19,2,2,9,1,4,4,4,3,Yes,Single,54,Below College,2,Yes
E200099,52,Female,Marketing,Sales Executive,42658,High,5,15,7,6,4,0,3,4,2,4,No,Divorced,49,College,0,Yes
E200100,42,Male,Sales,Sales Executive,57081,High,6,9,6,0,0,0,2,3,2,2,Yes,Divorced,4,Below College,2,No
E200101,43,Male,HR,Finance Analyst,145615,Low,26,1,11,4,7,1,1,1,3,4,No,Single,32,Below College,0,Yes
E200102,56,Female,Marketing,Manager,54986,High,14,10,10,0,4,0,1,4,3,3,Yes,Divorced,7,Master,0,No
E200103,54,Male,Sales,Developer,99322,Low,33,9,10,5,0,0,4,2,3,3,Yes,Single,29,Below College,1,Yes
E200104,59,Male,HR,Finance Analyst,114819,Low,22,18,13,8,3,0,2,4,2,1,Yes,Married,9,College,1,Yes
E200105,41,Female,Sales,Data Analyst,70304,High,23,13,10,2,0,0,1,1,2,3,Yes,Single,58,Bachelor,2,Yes
E200106,46,Male,Sales,Finance Analyst,85592,High,14,10,8,5,8,1,2,3,4,2,No,Single,35,Master,0,No
E200107,54,Male,HR,Developer,78548,High,34,8,11,3,9,0,1,1,1,3,No,Divorced,52,Bachelor,0,Yes
E200108,20,Female,HR,Team Lead,130837,High,3,6,3,5,1,0,4,4,2,2,Yes,Married,53,Doctor,1,Yes
E200109,54,Male,Sales,Research Scientist,118447,Low,36,14,6,1,7,0,1,3,1,2,Yes,Married,5,Bachelor,0,No
E200110,56,Male,IT,Developer,59986,High,16,19,0,3,3,0,2,3,2,4,No,Divorced,50,Doctor,1,Yes
E200111,33,Female,HR,Laboratory Technician,94095,High,30,16,10,6,8,1,2,1,1,2,No,Married,21,Doctor,1,Yes
E200112,22,Male,Marketing,Sales Executive,111594,Medium,37,2,10,5,1,0,4,4,3,2,Yes,Married,58,Master,2,No
E200113,20,Female,R&D,Manager,108281,High,9,14,1,8,2,0,3,1,2,1,Yes,Single,17,Bachelor,1,Yes
E200114,24,Male,Finance,Manager,86151,High,26,13,6,6,1,1,2,4,4,4,Yes,Divorced,39,Below College,1,Yes
E200115,45,Male,Sales,Research Scientist,93598,Low,5,7,14,0,9,1,3,4,1,2,Yes,Married,14,Master,0,No
E200116,33,Female,Sales,Laboratory Technician,48214,Low,5,3,1,5,4,1,2,2,3,1,Yes,Married,32,Master,2,Yes
E200117,58,Female,Finance,Sales Executive,129824,Medium,14,9,5,2,0,1,4,3,4,4,Yes,Married,15,Below College,2,Yes
E200118,46,Male,IT,Manager,58745,High,3,1,12,7,2,1,1,4,3,3,No,Single,21,Bachelor,2,No
E200119,28,Female,Finance,Laboratory Technician,129723,High,39,13,9,0,0,1,3,1,2,2,No,Single,54,Master,1,Yes
E200120,34,Female,HR,Finance Analyst,62548,High,6,7,11,9,9,0,1,1,4,3,No,Divorced,14,Doctor,2,Yes
E200121,34,Male,Finance,Developer,30681,High,25,9,8,1,7,0,4,2,1,4,No,Divorced,41,Below College,1,Yes
E200122,45,Male,Sales,Developer,26984,High,30,17,10,2,3,1,4,2,1,4,Yes,Single,16,College,1,No
E200123,32,Male,Finance,Team Lead,47579,High,1,14,4,2,2,0,4,2,4,1,No,Divorced,51,Master,1,No
E200124,51,Female,R&D,Sales Executive,110810,Medium,27,4,9,6,7,0,2,3,1,2,No,Divorced,1,Doctor,1,No
E200125,58,Female,Marketing,Laboratory Technician,123275,High,12,12,6,7,8,0,2,2,3,2,No,Divorced,40,Bachelor,2,No
E200126,51,Female,HR,Human Resources,74933,High,17,17,12,8,7,0,2,3,4,1,Yes,Single,18,Bachelor,2,Yes
E200127,23,Female,Finance,Manager,47399,High,29,1,0,6,5,0,2,2,1,3,Yes,Single,34,Below College,0,Yes
E200128,49,Male,Sales,Data Analyst,51481,Medium,10,12,7,7,2,1,3,3,3,4,Yes,Married,26,Doctor,2,No
E200129,56,Female,Marketing,Data Analyst,20944,High,12,13,8,5,7,0,4,4,1,1,No,Married,36,Below College,0,No
E200130,42,Male,HR,Developer,113993,Medium,23,9,14,1,4,0,3,2,3,4,No,Married,21,Master,2,No
E200131,58,Female,Sales,Human Resources,29114,Low,28,3,12,0,4,1,2,3,2,3,Yes,Married,1,Below College,2,Yes
E200132,34,Male,IT,Data Analyst,59846,High,4,14,4,2,8,0,1,4,3,3,Yes,Divorced,27,College,2,Yes
E200133,48,Male,R&D,Research Scientist,103666,Medium,34,7,5,8,0,0,3,2,1,3,No,Divorced,51,Below College,1,Yes
E200134,55,Male,IT,Research Scientist,97848,Low,18,14,12,6,6,0,1,4,3,2,Yes,Single,11,Below College,2,Yes
E200135,32,Female,R&D,Sales Executive,145733,Medium,12,13,10,1,7,0,2,2,1,4,Yes,Divorced,56,Master,2,No
E200136,51,Male,Finance,Human Resources,52596,Medium,4,8,7,0,9,0,3,1,4,4,No,Divorced,38,Doctor,0,Yes
E200137,26,Male,HR,Research Scientist,124087,Low,13,19,3,1,2,0,3,3,4,1,No,Divorced,51,College,2,Yes
E200138,41,Female,Finance,Research Scientist,95287,High,37,2,1,2,7,1,3,1,2,4,No,Married,14,Below College,1,No
E200139,47,Male,R&D,Developer,26907,High,21,14,14,5,0,0,1,3,3,2,Yes,Single,28,Master,2,No
E200140,21,Female,R&D,Data Analyst,143963,Medium,8,16,9,8,7,1,2,1,2,1,No,Married,55,Master,0,Yes
E200141,25,Female,R&D,Sales Executive,48114,Low,39,15,7,7,6,1,4,2,4,3,No,Divorced,27,Master,2,Yes
E200142,47,Male,Marketing,Laboratory Technician,45009,High,25,3,1,9,3,0,4,1,3,4,Yes,Divorced,22,Doctor,2,Yes
E200143,47,Male,Sales,Finance Analyst,104846,Medium,4,10,4,8,6,0,2,2,3,2,Yes,Single,21,Below College,0,No
E200144,39,Female,HR,Manager,70241,Low,28,7,14,7,9,0,3,3,2,2,Yes,Married,56,Bachelor,2,No
E200145,49,Male,Finance,Manager,55725,Medium,21,2,12,6,6,1,4,2,2,4,No,Divorced,24,College,0,No
E200146,30,Female,Finance,Finance Analyst,38996,Low,2,18,5,5,9,1,3,1,3,2,No,Single,19,Bachelor,0,No
E200147,47,Female,IT,Finance Analyst,26047,High,27,13,4,7,0,1,2,4,3,3,Yes,Divorced,24,Doctor,1,No
E200148,44,Female,R&D,Manager,124553,High,37,8,5,5,2,0,1,3,3,4,No,Divorced,26,Below College,1,Yes
E200149,58,Male,R&D,Manager,48767,Medium,13,2,5,1,6,1,3,4,2,4,No,Single,25,Bachelor,0,Yes
E200150,52,Female,R&D,Laboratory Technician,36347,High,13,3,2,8,4,0,1,4,1,4,No,Single,45,Bachelor,1,Yes
E200151,20,Male,Finance,Human Resources,122063,High,10,3,10,8,8,0,1,4,4,1,No,Divorced,44,Bachelor,1,Yes
E200152,46,Male,IT,Human Resources,44102,Low,8,10,10,2,6,1,2,4,4,3,Yes,Single,29,College,0,Yes
E200153,32,Male,Sales,Laboratory Technician,24263,High,37,18,2,8,2,1,2,4,2,2,No,Divorced,10,Below College,2,Yes
E200154,22,Male,Marketing,Data Analyst,128585,Low,5,15,8,1,0,0,1,1,3,4,No,Married,51,Master,2,Yes
E200155,58,Female,HR,Finance Analyst,87438,Low,0,16,2,2,4,1,1,2,4,4,No,Divorced,11,Below College,2,No
E200156,25,Male,Sales,Team Lead,116359,Medium,24,9,2,5,9,1,4,2,4,2,Yes,Single,24,Bachelor,1,Yes
E200157,27,Female,Finance,Finance Analyst,50540,Low,15,16,10,3,4,0,4,4,4,3,No,Married,24,Below College,1,No
E200158,46,Female,Marketing,Manager,120871,High,14,15,13,7,6,1,2,1,4,2,No,Single,12,Master,2,Yes
E200159,28,Male,Marketing,Finance Analyst,95726,Low,33,19,1,0,0,1,3,4,3,2,No,Divorced,7,College,0,Yes
E200160,56,Female,Marketing,Manager,83769,Low,16,5,6,5,9,0,1,4,2,4,Yes,Single,40,Below College,0,No
E200161,52,Female,R&D,Finance Analyst,60843,Medium,2,6,9,1,1,0,3,3,3,1,No,Divorced,17,Below College,0,No
E200162,43,Male,HR,Data Analyst,47690,High,2,13,9,5,5,1,1,1,3,1,Yes,Single,35,College,1,Yes
E200163,34,Female,Finance,Team Lead,22994,High,36,10,3,0,7,1,2,4,4,1,No,Single,6,College,2,Yes
E200164,51,Female,Finance,Research Scientist,123533,High,16,11,0,1,3,1,3,2,4,1,Yes,Divorced,12,Bachelor,0,Yes
E200165,51,Female,Marketing,Laboratory Technician,87546,Low,37,13,5,8,2,0,2,3,3,1,Yes,Married,15,Bachelor,2,Yes
E200166,43,Female,Finance,Laboratory Technician,27377,High,0,4,4,5,2,1,1,4,3,4,No,Divorced,32,College,2,Yes
E200167,31,Male,HR,Team Lead,98572,High,6,4,13,7,2,0,2,4,3,1,No,Married,23,Master,1,No
E200168,58,Female,HR,Finance Analyst,46467,Low,25,19,10,6,1,0,3,4,1,2,Yes,Married,7,Bachelor,0,No
E200169,21,Female,IT,Research Scientist,135518,Medium,38,14,1,8,0,0,4,1,4,4,Yes,Married,59,Master,1,No
E200170,22,Female,IT,Human Resources,20048,Medium,18,0,5,8,4,0,2,4,2,2,No,Married,38,College,2,Yes
E200171,56,Female,Sales,Finance Analyst,56978,Low,29,8,0,3,9,1,3,2,2,1,No,Divorced,31,Below College,2,Yes
E200172,36,Male,HR,Data Analyst,135866,Medium,13,2,2,6,4,1,2,3,2,3,No,Divorced,29,College,2,No
E200173,21,Female,HR,Manager,140456,Medium,12,3,3,4,4,1,2,1,1,1,No,Married,44,College,0,No
E200174,21,Male,HR,Sales Executive,67606,Medium,19,15,12,6,3,1,4,3,1,4,No,Married,28,Doctor,0,Yes
E200175,47,Female,IT,Finance Analyst,101574,High,25,6,2,3,2,1,3,2,2,2,No,Married,12,College,0,Yes
E200176,42,Male,Marketing,Sales Executive,118112,Medium,26,13,14,9,2,0,3,4,2,3,No,Married,27,Bachelor,2,Yes
E200177,56,Male,Marketing,Finance Analyst,93414,High,24,15,12,0,1,0,3,1,2,3,Yes,Married,4,Below College,2,Yes
E200178,51,Male,Finance,Team Lead,113145,Medium,8,17,5,3,4,1,1,4,3,3,Yes,Married,21,Master,0,Yes
E200179,52,Male,Marketing,Sales Executive,69222,High,11,15,10,9,3,1,2,1,4,2,No,Single,9,Doctor,2,No
E200180,20,Male,R&D,Finance Analyst,68115,Low,9,15,3,2,5,1,4,4,1,4,No,Married,49,Bachelor,2,No
E200181,38,Female,IT,Laboratory Technician,109606,Low,5,1,13,8,1,1,3,2,1,3,No,Single,34,Below College,2,Yes
E200182,21,Female,HR,Sales Executive,60647,Medium,33,9,0,4,1,0,4,2,3,2,Yes,Divorced,37,Master,0,Yes
E200183,45,Female,Marketing,Finance Analyst,74607,High,18,6,4,3,7,1,1,4,1,2,Yes,Divorced,21,Below College,1,Yes
E200184,51,Male,IT,Human Resources,77410,Low,5,14,4,7,5,0,1,2,2,1,No,Married,23,Bachelor,1,Yes
E200185,25,Female,Marketing,Manager,41996,Low,1,8,8,4,2,0,4,4,1,2,No,Divorced,24,Below College,1,Yes
E200186,51,Male,Sales,Human Resources,74921,Low,14,6,7,2,4,1,3,1,3,4,Yes,Divorced,10,College,0,Yes
E200187,23,Male,HR,Research Scientist,103697,Low,16,15,14,1,2,0,4,2,4,4,Yes,Married,38,Below College,2,Yes
E200188,30,Female,Sales,Finance Analyst,66022,Medium,15,2,7,7,1,1,3,1,2,3,Yes,Divorced,6,College,1,Yes
E200189,36,Female,HR,Developer,60148,High,27,16,4,1,2,0,3,4,1,2,No,Divorced,21,Bachelor,1,No
E200190,57,Male,IT,Data Analyst,87764,Low,20,7,7,7,0,0,1,1,2,2,No,Married,37,Doctor,0,Yes
E200191,43,Male,Finance,Human Resources,111901,Medium,7,1,13,4,6,0,4,3,4,1,Yes,Married,29,College,2,No
E200192,24,Female,Marketing,Sales Executive,110724,Low,9,19,9,7,5,0,1,4,1,1,No,Married,59,Below College,2,No
E200193,53,Female,Marketing,Team Lead,144766,Low,9,2,6,4,4,0,2,2,2,2,No,Single,40,Below College,0,Yes
E200194,25,Female,R&D,Data Analyst,128118,Low,9,7,0,0,5,1,1,2,3,2,No,Married,21,Below College,1,Yes
E200195,41,Female,Sales,Developer,28888,Low,8,1,11,1,7,0,3,3,3,2,Yes,Divorced,22,Bachelor,2,No
E200196,30,Male,Marketing,Finance Analyst,108666,Medium,27,18,6,5,2,1,4,4,4,1,Yes,Married,35,Master,2,Yes
E200197,35,Female,IT,Team Lead,59159,High,23,16,10,2,2,1,2,4,4,1,Yes,Single,46,Below College,1,Yes
E200198,52,Female,Finance,Finance Analyst,62197,Medium,18,4,7,7,4,0,2,4,4,4,No,Divorced,5,Below College,0,Yes
E200199,28,Female,IT,Research Scientist,104326,Medium,32,19,2,4,4,1,2,4,1,3,No,Single,15,College,1,No
E200200,25,Male,Sales,Developer,110360,Medium,3,16,8,2,0,0,2,1,4,3,Yes,Divorced,41,Doctor,2,Yes
E200201,35,Male,R&D,Finance Analyst,118941,Low,2,9,7,9,3,1,4,4,1,3,No,Married,47,Below College,0,No
E200202,48,Male,Marketing,Sales Executive,44474,High,11,8,1,6,8,1,3,1,2,3,Yes,Single,19,Bachelor,1,Yes
E200203,22,Male,IT,Research Scientist,37333,Low,17,5,5,7,7,0,2,1,3,1,No,Married,16,Master,1,Yes
E200204,39,Female,HR,Laboratory Technician,128400,Medium,22,10,3,3,2,1,3,2,2,1,No,Divorced,40,Master,0,No
E200205,55,Male,Finance,Developer,56355,Low,19,1,2,8,4,1,1,4,3,2,No,Married,47,Master,2,No
E200206,38,Female,IT,Manager,119415,High,5,11,10,5,4,1,3,1,4,4,No,Married,43,Bachelor,0,No
E200207,45,Female,Finance,Team Lead,149686,High,33,11,5,0,6,0,2,4,2,4,No,Divorced,23,Master,0,Yes
E200208,22,Female,Marketing,Human Resources,93903,Low,1,15,9,4,7,1,1,3,2,3,Yes,Single,4,Master,2,Yes
E200209,38,Female,HR,Finance Analyst,86258,Medium,29,11,12,4,8,1,1,1,4,2,Yes,Divorced,21,College,1,No
E200210,39,Male,R&D,Team Lead,51145,Low,8,17,14,6,6,0,1,2,2,2,No,Divorced,24,Master,0,No
E200211,51,Male,R&D,Team Lead,138530,Medium,26,12,8,6,1,1,2,4,1,1,Yes,Married,42,College,0,Yes
E200212,26,Male,HR,Manager,138362,High,33,14,1,5,7,0,3,2,3,2,No,Divorced,55,College,1,Yes
E200213,52,Female,Finance,Manager,123170,Low,39,15,9,7,7,1,4,1,4,4,No,Single,26,College,2,Yes
E200214,59,Female,Marketing,Research Scientist,95675,High,23,3,9,1,1,1,3,1,1,4,No,Divorced,42,Bachelor,1,Yes
E200215,58,Female,IT,Developer,69854,Medium,16,11,9,6,5,1,2,2,1,2,Yes,Divorced,2,Below College,1,Yes
